,index,PNW
265,630,14039.235000794419
266,631,29631.01101790603
267,632,42759.473580508915
268,633,38737.86876936602
269,634,35131.92498981417
270,635,35382.76514121055
271,636,39243.5775813926
272,637,39631.01674142908
273,638,43051.897759318075
274,639,49450.33194751626
275,640,49921.27233708439
276,641,45280.97143242296
277,642,43928.846163822134
278,643,49325.435357149196
279,644,47050.02647527386
280,645,44935.48798597697
281,646,42791.410363968724
282,647,45606.11762415255
283,648,46474.1533381029
284,649,39333.63787619691
285,650,38681.25476346449
286,651,37746.18033709722
287,652,35987.856986565224
288,653,34157.64288653279
289,654,33279.94554742372
290,655,35852.76951254871
291,656,35794.98408441123
292,657,39607.80117409723
293,658,40132.54807540325
294,659,41749.98021168563
295,660,40137.29820809295
296,661,40116.37797373001
297,662,39424.60397755046
298,663,38380.44210573075
299,664,35133.82047021782
300,665,33406.66758010918
301,666,30573.50838033689
302,667,29293.98389449519
303,668,30260.83781517303
304,669,26695.95454934756
305,670,23266.76461232947
306,671,20645.79238083966
307,672,21405.038767397084
308,673,22366.22318277562
309,674,21171.97993391985
310,675,19412.658547332554
311,676,22694.161676729054
312,677,30677.82050119668
313,678,30292.858414152608
314,679,28613.30412781819
315,680,27394.83278365503
316,681,24366.670242377353
317,682,21345.62822982369
318,683,14974.899171667115
319,684,14425.162943259595
320,685,15996.674488602293
321,686,15436.703029406402
322,687,12948.711769457732
323,688,10044.025904423732
324,689,8903.808658227295
325,690,6814.785623244912
326,691,1137.5224111915595
327,692,1876.2176030350383
328,693,13501.49411519122
329,694,17419.173480182086
330,695,15934.497336405591
331,696,7176.619742174182
332,697,6038.183254869917
333,698,2661.4651576586184
334,699,7337.3442504408595
335,700,15586.088878671755
336,701,12015.587821053225
337,702,16656.553419721575
338,703,12890.839154298359
339,704,16279.976973857847
340,705,16738.88388234732
341,706,39195.376596428134
342,707,42378.20059071909
343,708,34117.62086340765
344,709,27947.39895035213
345,710,29526.88072036751
346,711,25199.993158738187
347,712,20588.74406891642
348,713,20037.82496167501
349,714,19851.498627558
350,715,24376.519272903213
351,716,23532.129788491235
352,717,25005.18757924359
353,718,19676.517692416295
354,719,24568.44561527943
355,720,20392.947209414066
356,721,21868.040403251187
357,722,21378.71848454149
358,723,18655.813150447182
359,724,20632.055930650153
360,725,21133.806803515647
361,726,22843.970959408616
362,727,22984.903172758553
363,728,30171.41575758747
364,729,33058.4730174256
