,Zone,Time,Value
279,PGE_valley,64,1.720802073267356
280,PGE_valley,65,1.6491019868812156
281,PGE_valley,66,1.2906015549505165
282,PGE_valley,67,0.430200518316839
283,PGE_valley,68,1.2906015549505165
284,PGE_valley,69,2.3661028507426134
285,PGE_valley,70,1.6491019868812156
286,PGE_valley,71,1.7925021596534954
287,PGE_valley,72,2.151002591584195
288,SCE,73,624.9894721646805
289,SCE,74,609.134583754611
290,SCE,75,446.4941155480901
291,SCE,76,492.5244367386149
292,SCE,77,410.18130660889835
293,SCE,78,323.74659237335743
294,SCE,79,277.2048231696046
295,SCE,80,156.50309204778415
296,SCE,81,131.44213939960957
297,SCE,82,139.11385959803036
298,SCE,83,154.45729999487193
299,SCE,84,174.91522052399404
300,SCE,85,149.8542678758195
301,SCE,86,104.84684271175082
302,SCE,87,79.27444205034818
303,SCE,88,68.53403377255906
304,SCE,89,67.51113774610296
305,SCE,90,67.51113774610296
306,SCE,91,50.12190529634917
307,SCE,92,44.495977150840595
308,SCE,93,43.98452913761253
309,SCE,94,43.98452913761253
310,SCE,95,47.053217216980855
311,SCE,96,56.77072946831385
312,SDGE,73,99.28218177616019
313,SDGE,74,96.7635666901856
314,SDGE,75,70.92745064696224
315,SDGE,76,78.23955896108205
316,SDGE,77,65.15900964360104
317,SDGE,78,51.42849514264272
318,SDGE,79,44.03514118058823
319,SDGE,80,24.86116826800738
320,SDGE,81,20.880131519208813
321,SDGE,82,22.098816238228782
322,SDGE,83,24.53618567626872
323,SDGE,84,27.786011593655303
324,SDGE,85,23.80497484485674
325,SDGE,86,16.655357826606252
326,SDGE,87,12.59307542987302
327,SDGE,88,10.886916823245059
328,SDGE,89,10.72442552737573
329,SDGE,90,10.72442552737573
330,SDGE,91,7.9620734975971335
331,SDGE,92,7.068371370315823
332,SDGE,93,6.987125722381158
333,SDGE,94,6.987125722381158
334,SDGE,95,7.474599609989147
335,SDGE,96,9.018266920747774
336,PGE_bay,73,166.01282854374324
337,PGE_bay,74,161.80137380981853
338,PGE_bay,75,118.59999944246144
339,PGE_bay,76,130.82680350869458
340,PGE_bay,77,108.95440956798862
341,PGE_bay,78,85.99518859917308
342,PGE_bay,79,73.63253115442622
343,PGE_bay,80,41.57113382519267
344,PGE_bay,81,34.91431827802129
345,PGE_bay,82,36.95211895572682
346,PGE_bay,83,41.02772031113786
347,PGE_bay,84,46.46185545168591
348,PGE_bay,85,39.80503990451455
349,PGE_bay,86,27.84994259530881
350,PGE_bay,87,21.057273669623736
351,PGE_bay,88,18.204352720836
352,PGE_bay,89,17.9326459638086
353,PGE_bay,90,17.9326459638086
354,PGE_bay,91,13.313631094342748
355,PGE_bay,92,11.819243930692032
356,PGE_bay,93,11.683390552178329
357,PGE_bay,94,11.683390552178329
358,PGE_bay,95,12.49851082326054
359,PGE_bay,96,15.079725015020866
360,PGE_valley,73,88.54017522332973
361,PGE_valley,74,86.29406603190321
362,PGE_valley,75,63.25333303597943
363,PGE_valley,76,69.77429520463711
364,PGE_valley,77,58.1090184362606
365,PGE_valley,78,45.86410058622564
366,PGE_valley,79,39.27068328236065
367,PGE_valley,80,22.17127137343609
368,PGE_valley,81,18.62096974827802
369,PGE_valley,82,19.707796776387635
370,PGE_valley,83,21.88145083260686
371,PGE_valley,84,24.779656240899154
372,PGE_valley,85,21.22935461574109
373,PGE_valley,86,14.853302717498034
374,PGE_valley,87,11.230545957132659
375,PGE_valley,88,9.7089881177792
376,PGE_valley,89,9.564077847364585
377,PGE_valley,90,9.564077847364585
378,PGE_valley,91,7.100603250316132
379,PGE_valley,92,6.303596763035751
380,PGE_valley,93,6.231141627828443
381,PGE_valley,94,6.231141627828443
382,PGE_valley,95,6.665872439072288
383,PGE_valley,96,8.04252000801113
