,Source,Sink,Time,Value
1171,PGE_bay,SDGE,44,
1172,PGE_bay,SDGE,45,
1173,PGE_bay,SDGE,46,
1174,PGE_bay,SDGE,47,
1175,PGE_bay,SDGE,48,
1176,PGE_bay,PGE_bay,25,
1177,PGE_bay,PGE_bay,26,
1178,PGE_bay,PGE_bay,27,
1179,PGE_bay,PGE_bay,28,
1180,PGE_bay,PGE_bay,29,
1181,PGE_bay,PGE_bay,30,
1182,PGE_bay,PGE_bay,31,
1183,PGE_bay,PGE_bay,32,
1184,PGE_bay,PGE_bay,33,
1185,PGE_bay,PGE_bay,34,
1186,PGE_bay,PGE_bay,35,
1187,PGE_bay,PGE_bay,36,
1188,PGE_bay,PGE_bay,37,
1189,PGE_bay,PGE_bay,38,
1190,PGE_bay,PGE_bay,39,
1191,PGE_bay,PGE_bay,40,
1192,PGE_bay,PGE_bay,41,
1193,PGE_bay,PGE_bay,42,
1194,PGE_bay,PGE_bay,43,
1195,PGE_bay,PGE_bay,44,
1196,PGE_bay,PGE_bay,45,
1197,PGE_bay,PGE_bay,46,
1198,PGE_bay,PGE_bay,47,
1199,PGE_bay,PGE_bay,48,
1200,PGE_valley,PGE_valley,49,
1201,PGE_valley,PGE_valley,50,
1202,PGE_valley,PGE_valley,51,
1203,PGE_valley,PGE_valley,52,
1204,PGE_valley,PGE_valley,53,
1205,PGE_valley,PGE_valley,54,
1206,PGE_valley,PGE_valley,55,
1207,PGE_valley,PGE_valley,56,
1208,PGE_valley,PGE_valley,57,
1209,PGE_valley,PGE_valley,58,
1210,PGE_valley,PGE_valley,59,
1211,PGE_valley,PGE_valley,60,
1212,PGE_valley,PGE_valley,61,
1213,PGE_valley,PGE_valley,62,
1214,PGE_valley,PGE_valley,63,
1215,PGE_valley,PGE_valley,64,
1216,PGE_valley,PGE_valley,65,
1217,PGE_valley,PGE_valley,66,
1218,PGE_valley,PGE_valley,67,
1219,PGE_valley,PGE_valley,68,
1220,PGE_valley,PGE_valley,69,
1221,PGE_valley,PGE_valley,70,
1222,PGE_valley,PGE_valley,71,
1223,PGE_valley,PGE_valley,72,
1224,PGE_valley,SCE,49,
1225,PGE_valley,SCE,50,
1226,PGE_valley,SCE,51,
1227,PGE_valley,SCE,52,
1228,PGE_valley,SCE,53,
1229,PGE_valley,SCE,54,
1230,PGE_valley,SCE,55,
1231,PGE_valley,SCE,56,
1232,PGE_valley,SCE,57,
1233,PGE_valley,SCE,58,
1234,PGE_valley,SCE,59,
1235,PGE_valley,SCE,60,
1236,PGE_valley,SCE,61,
1237,PGE_valley,SCE,62,
1238,PGE_valley,SCE,63,
1239,PGE_valley,SCE,64,
1240,PGE_valley,SCE,65,
1241,PGE_valley,SCE,66,
1242,PGE_valley,SCE,67,
1243,PGE_valley,SCE,68,
1244,PGE_valley,SCE,69,
1245,PGE_valley,SCE,70,
1246,PGE_valley,SCE,71,
1247,PGE_valley,SCE,72,
1248,PGE_valley,PNW,49,
1249,PGE_valley,PNW,50,
1250,PGE_valley,PNW,51,
1251,PGE_valley,PNW,52,
1252,PGE_valley,PNW,53,
1253,PGE_valley,PNW,54,
1254,PGE_valley,PNW,55,
1255,PGE_valley,PNW,56,
1256,PGE_valley,PNW,57,
1257,PGE_valley,PNW,58,
1258,PGE_valley,PNW,59,
1259,PGE_valley,PNW,60,
1260,PGE_valley,PNW,61,
1261,PGE_valley,PNW,62,
1262,PGE_valley,PNW,63,
1263,PGE_valley,PNW,64,
1264,PGE_valley,PNW,65,
1265,PGE_valley,PNW,66,
1266,PGE_valley,PNW,67,
1267,PGE_valley,PNW,68,
1268,PGE_valley,PNW,69,
1269,PGE_valley,PNW,70,
1270,PGE_valley,PNW,71,
1271,PGE_valley,PNW,72,
1272,PGE_valley,SDGE,49,
1273,PGE_valley,SDGE,50,
1274,PGE_valley,SDGE,51,
1275,PGE_valley,SDGE,52,
1276,PGE_valley,SDGE,53,
1277,PGE_valley,SDGE,54,
1278,PGE_valley,SDGE,55,
1279,PGE_valley,SDGE,56,
1280,PGE_valley,SDGE,57,
1281,PGE_valley,SDGE,58,
1282,PGE_valley,SDGE,59,
1283,PGE_valley,SDGE,60,
1284,PGE_valley,SDGE,61,
1285,PGE_valley,SDGE,62,
1286,PGE_valley,SDGE,63,
1287,PGE_valley,SDGE,64,
1288,PGE_valley,SDGE,65,
1289,PGE_valley,SDGE,66,
1290,PGE_valley,SDGE,67,
1291,PGE_valley,SDGE,68,
1292,PGE_valley,SDGE,69,
1293,PGE_valley,SDGE,70,
1294,PGE_valley,SDGE,71,
1295,PGE_valley,SDGE,72,
1296,PGE_valley,PGE_bay,49,
1297,PGE_valley,PGE_bay,50,
1298,PGE_valley,PGE_bay,51,
1299,PGE_valley,PGE_bay,52,
1300,PGE_valley,PGE_bay,53,
1301,PGE_valley,PGE_bay,54,
1302,PGE_valley,PGE_bay,55,
1303,PGE_valley,PGE_bay,56,
1304,PGE_valley,PGE_bay,57,
1305,PGE_valley,PGE_bay,58,
1306,PGE_valley,PGE_bay,59,
1307,PGE_valley,PGE_bay,60,
1308,PGE_valley,PGE_bay,61,
1309,PGE_valley,PGE_bay,62,
1310,PGE_valley,PGE_bay,63,
1311,PGE_valley,PGE_bay,64,
1312,PGE_valley,PGE_bay,65,
1313,PGE_valley,PGE_bay,66,
1314,PGE_valley,PGE_bay,67,
1315,PGE_valley,PGE_bay,68,
1316,PGE_valley,PGE_bay,69,
1317,PGE_valley,PGE_bay,70,
1318,PGE_valley,PGE_bay,71,
1319,PGE_valley,PGE_bay,72,
1320,SCE,PGE_valley,49,
1321,SCE,PGE_valley,50,
1322,SCE,PGE_valley,51,
1323,SCE,PGE_valley,52,
1324,SCE,PGE_valley,53,
1325,SCE,PGE_valley,54,
1326,SCE,PGE_valley,55,
1327,SCE,PGE_valley,56,
1328,SCE,PGE_valley,57,
1329,SCE,PGE_valley,58,
1330,SCE,PGE_valley,59,
1331,SCE,PGE_valley,60,
1332,SCE,PGE_valley,61,
1333,SCE,PGE_valley,62,
1334,SCE,PGE_valley,63,
1335,SCE,PGE_valley,64,
1336,SCE,PGE_valley,65,
1337,SCE,PGE_valley,66,
1338,SCE,PGE_valley,67,
1339,SCE,PGE_valley,68,
1340,SCE,PGE_valley,69,
1341,SCE,PGE_valley,70,
1342,SCE,PGE_valley,71,
1343,SCE,PGE_valley,72,
1344,SCE,SCE,49,
1345,SCE,SCE,50,
1346,SCE,SCE,51,
