,Generator,Time,Value,Zones
263,YUBACT_6_UNITA1,24,0,PGE_valley
264,VACADX_1_UNITA1,1,0,PGE_valley
265,VACADX_1_UNITA1,2,0,PGE_valley
266,VACADX_1_UNITA1,3,0,PGE_valley
267,VACADX_1_UNITA1,4,0,PGE_valley
268,VACADX_1_UNITA1,5,0,PGE_valley
269,VACADX_1_UNITA1,6,0,PGE_valley
270,VACADX_1_UNITA1,7,0,PGE_valley
271,VACADX_1_UNITA1,8,0,PGE_valley
272,VACADX_1_UNITA1,9,0,PGE_valley
273,VACADX_1_UNITA1,10,0,PGE_valley
274,VACADX_1_UNITA1,11,0,PGE_valley
275,VACADX_1_UNITA1,12,0,PGE_valley
276,VACADX_1_UNITA1,13,0,PGE_valley
277,VACADX_1_UNITA1,14,0,PGE_valley
278,VACADX_1_UNITA1,15,0,PGE_valley
279,VACADX_1_UNITA1,16,0,PGE_valley
280,VACADX_1_UNITA1,17,0,PGE_valley
281,VACADX_1_UNITA1,18,0,PGE_valley
282,VACADX_1_UNITA1,19,0,PGE_valley
283,VACADX_1_UNITA1,20,0,PGE_valley
284,VACADX_1_UNITA1,21,0,PGE_valley
285,VACADX_1_UNITA1,22,0,PGE_valley
286,VACADX_1_UNITA1,23,0,PGE_valley
287,VACADX_1_UNITA1,24,0,PGE_valley
288,MIDSET_1_UNIT1,1,0,PGE_valley
289,MIDSET_1_UNIT1,2,0,PGE_valley
290,MIDSET_1_UNIT1,3,0,PGE_valley
291,MIDSET_1_UNIT1,4,0,PGE_valley
292,MIDSET_1_UNIT1,5,0,PGE_valley
293,MIDSET_1_UNIT1,6,0,PGE_valley
294,MIDSET_1_UNIT1,7,0,PGE_valley
295,MIDSET_1_UNIT1,8,0,PGE_valley
296,MIDSET_1_UNIT1,9,0,PGE_valley
297,MIDSET_1_UNIT1,10,0,PGE_valley
298,MIDSET_1_UNIT1,11,0,PGE_valley
299,MIDSET_1_UNIT1,12,0,PGE_valley
300,MIDSET_1_UNIT1,13,0,PGE_valley
301,MIDSET_1_UNIT1,14,0,PGE_valley
302,MIDSET_1_UNIT1,15,0,PGE_valley
303,MIDSET_1_UNIT1,16,0,PGE_valley
304,MIDSET_1_UNIT1,17,0,PGE_valley
305,MIDSET_1_UNIT1,18,0,PGE_valley
306,MIDSET_1_UNIT1,19,0,PGE_valley
307,MIDSET_1_UNIT1,20,0,PGE_valley
308,MIDSET_1_UNIT1,21,0,PGE_valley
309,MIDSET_1_UNIT1,22,0,PGE_valley
310,MIDSET_1_UNIT1,23,0,PGE_valley
311,MIDSET_1_UNIT1,24,0,PGE_valley
312,WOLFSK_1_UNITA1,1,0,PGE_valley
313,WOLFSK_1_UNITA1,2,0,PGE_valley
314,WOLFSK_1_UNITA1,3,0,PGE_valley
315,WOLFSK_1_UNITA1,4,0,PGE_valley
316,WOLFSK_1_UNITA1,5,0,PGE_valley
317,WOLFSK_1_UNITA1,6,0,PGE_valley
318,WOLFSK_1_UNITA1,7,0,PGE_valley
319,WOLFSK_1_UNITA1,8,0,PGE_valley
320,WOLFSK_1_UNITA1,9,0,PGE_valley
321,WOLFSK_1_UNITA1,10,0,PGE_valley
322,WOLFSK_1_UNITA1,11,0,PGE_valley
323,WOLFSK_1_UNITA1,12,0,PGE_valley
324,WOLFSK_1_UNITA1,13,0,PGE_valley
325,WOLFSK_1_UNITA1,14,0,PGE_valley
326,WOLFSK_1_UNITA1,15,0,PGE_valley
