,Generator,Time,Value,Zones
155,PORT_WESTWARD_1_GEN_2,12,0.0,PNW
156,PORT_WESTWARD_1_GEN_2,13,0.0,PNW
157,PORT_WESTWARD_1_GEN_2,14,0.0,PNW
158,PORT_WESTWARD_1_GEN_2,15,0.0,PNW
159,PORT_WESTWARD_1_GEN_2,16,0.0,PNW
160,PORT_WESTWARD_1_GEN_2,17,0.0,PNW
161,PORT_WESTWARD_1_GEN_2,18,0.0,PNW
162,PORT_WESTWARD_1_GEN_2,19,0.0,PNW
163,PORT_WESTWARD_1_GEN_2,20,0.0,PNW
164,PORT_WESTWARD_1_GEN_2,21,0.0,PNW
165,PORT_WESTWARD_1_GEN_2,22,0.0,PNW
166,PORT_WESTWARD_1_GEN_2,23,0.0,PNW
167,PORT_WESTWARD_1_GEN_2,24,0.0,PNW
168,ALDEN_BAILEY_LOKI,1,10.9,PNW
169,ALDEN_BAILEY_LOKI,2,10.9,PNW
170,ALDEN_BAILEY_LOKI,3,10.9,PNW
171,ALDEN_BAILEY_LOKI,4,10.9,PNW
172,ALDEN_BAILEY_LOKI,5,10.9,PNW
173,ALDEN_BAILEY_LOKI,6,10.9,PNW
174,ALDEN_BAILEY_LOKI,7,10.9,PNW
175,ALDEN_BAILEY_LOKI,8,10.9,PNW
176,ALDEN_BAILEY_LOKI,9,10.9,PNW
177,ALDEN_BAILEY_LOKI,10,10.9,PNW
178,ALDEN_BAILEY_LOKI,11,10.9,PNW
179,ALDEN_BAILEY_LOKI,12,10.9,PNW
180,ALDEN_BAILEY_LOKI,13,10.9,PNW
181,ALDEN_BAILEY_LOKI,14,10.9,PNW
182,ALDEN_BAILEY_LOKI,15,10.9,PNW
183,ALDEN_BAILEY_LOKI,16,10.9,PNW
184,ALDEN_BAILEY_LOKI,17,10.9,PNW
185,ALDEN_BAILEY_LOKI,18,10.9,PNW
186,ALDEN_BAILEY_LOKI,19,10.9,PNW
187,ALDEN_BAILEY_LOKI,20,10.9,PNW
188,ALDEN_BAILEY_LOKI,21,10.9,PNW
189,ALDEN_BAILEY_LOKI,22,10.9,PNW
190,ALDEN_BAILEY_LOKI,23,10.9,PNW
191,ALDEN_BAILEY_LOKI,24,10.9,PNW
192,RATHDRUMPWR_STG1,1,0.0,PNW
193,RATHDRUMPWR_STG1,2,0.0,PNW
194,RATHDRUMPWR_STG1,3,0.0,PNW
195,RATHDRUMPWR_STG1,4,0.0,PNW
196,RATHDRUMPWR_STG1,5,0.0,PNW
197,RATHDRUMPWR_STG1,6,0.0,PNW
198,RATHDRUMPWR_STG1,7,0.0,PNW
199,RATHDRUMPWR_STG1,8,0.0,PNW
200,RATHDRUMPWR_STG1,9,0.0,PNW
201,RATHDRUMPWR_STG1,10,0.0,PNW
202,RATHDRUMPWR_STG1,11,0.0,PNW
203,RATHDRUMPWR_STG1,12,0.0,PNW
204,RATHDRUMPWR_STG1,13,0.0,PNW
205,RATHDRUMPWR_STG1,14,0.0,PNW
206,RATHDRUMPWR_STG1,15,0.0,PNW
207,RATHDRUMPWR_STG1,16,0.0,PNW
208,RATHDRUMPWR_STG1,17,0.0,PNW
209,RATHDRUMPWR_STG1,18,0.0,PNW
210,RATHDRUMPWR_STG1,19,0.0,PNW
211,RATHDRUMPWR_STG1,20,0.0,PNW
212,RATHDRUMPWR_STG1,21,0.0,PNW
213,RATHDRUMPWR_STG1,22,0.0,PNW
214,RATHDRUMPWR_STG1,23,0.0,PNW
215,RATHDRUMPWR_STG1,24,0.0,PNW
216,HERMISTON_4,1,204.5,PNW
217,HERMISTON_4,2,204.5,PNW
218,HERMISTON_4,3,204.5,PNW
219,HERMISTON_4,4,204.5,PNW
220,HERMISTON_4,5,204.5,PNW
221,HERMISTON_4,6,204.5,PNW
222,HERMISTON_4,7,204.5,PNW
223,HERMISTON_4,8,204.5,PNW
224,HERMISTON_4,9,204.5,PNW
225,HERMISTON_4,10,204.5,PNW
226,HERMISTON_4,11,204.5,PNW
227,HERMISTON_4,12,204.5,PNW
228,HERMISTON_4,13,204.5,PNW
229,HERMISTON_4,14,204.5,PNW
230,HERMISTON_4,15,204.5,PNW
231,HERMISTON_4,16,204.5,PNW
232,HERMISTON_4,17,204.5,PNW
233,HERMISTON_4,18,204.5,PNW
234,HERMISTON_4,19,204.5,PNW
235,HERMISTON_4,20,204.5,PNW
236,HERMISTON_4,21,204.5,PNW
237,HERMISTON_4,22,204.5,PNW
238,HERMISTON_4,23,204.5,PNW
239,HERMISTON_4,24,204.5,PNW
240,HERMISTON_3,1,106.1,PNW
241,HERMISTON_3,2,106.1,PNW
242,HERMISTON_3,3,106.1,PNW
243,HERMISTON_3,4,106.1,PNW
244,HERMISTON_3,5,106.1,PNW
245,HERMISTON_3,6,106.1,PNW
246,HERMISTON_3,7,106.1,PNW
247,HERMISTON_3,8,106.1,PNW
