,PGE_valley,PGE_bay,SCE,SDGE,PNW
120,941.0,35.0,428.0,31.0,509.8
121,941.0,35.0,428.0,31.0,509.8
122,941.0,35.0,428.0,31.0,509.8
123,941.0,35.0,428.0,31.0,509.8
124,941.0,35.0,428.0,31.0,509.8
125,941.0,35.0,428.0,31.0,509.8
126,941.0,35.0,428.0,31.0,509.8
127,941.0,35.0,428.0,31.0,509.8
128,941.0,35.0,428.0,31.0,509.8
129,941.0,35.0,428.0,31.0,509.8
130,941.0,35.0,428.0,31.0,509.8
131,941.0,35.0,428.0,31.0,509.8
132,941.0,35.0,428.0,31.0,509.8
133,941.0,35.0,428.0,31.0,509.8
134,941.0,35.0,428.0,31.0,509.8
135,941.0,35.0,428.0,31.0,509.8
136,941.0,35.0,428.0,31.0,509.8
137,941.0,35.0,428.0,31.0,509.8
138,941.0,35.0,428.0,31.0,509.8
139,941.0,35.0,428.0,31.0,509.8
140,941.0,35.0,428.0,31.0,509.8
141,941.0,35.0,428.0,31.0,509.8
142,941.0,35.0,428.0,31.0,509.8
143,941.0,35.0,428.0,31.0,509.8
144,941.0,35.0,428.0,31.0,509.8
145,941.0,35.0,428.0,31.0,509.8
146,941.0,35.0,428.0,31.0,509.8
147,941.0,35.0,428.0,31.0,509.8
148,941.0,35.0,428.0,31.0,509.8
149,941.0,35.0,428.0,31.0,509.8
150,941.0,35.0,428.0,31.0,509.8
151,941.0,35.0,428.0,31.0,509.8
152,941.0,35.0,428.0,31.0,509.8
153,941.0,35.0,428.0,31.0,509.8
154,941.0,35.0,428.0,31.0,509.8
155,941.0,35.0,428.0,31.0,509.8
156,941.0,35.0,428.0,31.0,509.8
157,941.0,35.0,428.0,31.0,509.8
158,941.0,35.0,428.0,31.0,509.8
159,941.0,35.0,428.0,31.0,509.8
160,941.0,35.0,428.0,31.0,509.8
161,941.0,35.0,428.0,31.0,509.8
162,941.0,35.0,428.0,31.0,509.8
163,941.0,35.0,428.0,31.0,509.8
164,941.0,35.0,428.0,31.0,509.8
165,941.0,35.0,428.0,31.0,509.8
166,941.0,35.0,428.0,31.0,509.8
167,941.0,35.0,428.0,31.0,509.8
168,941.0,35.0,428.0,31.0,509.8
169,941.0,35.0,428.0,31.0,509.8
170,941.0,35.0,428.0,31.0,509.8
171,941.0,35.0,428.0,31.0,509.8
172,941.0,35.0,428.0,31.0,509.8
173,941.0,35.0,428.0,31.0,509.8
174,941.0,35.0,428.0,31.0,509.8
175,941.0,35.0,428.0,31.0,509.8
176,941.0,35.0,428.0,31.0,509.8
177,941.0,35.0,428.0,31.0,509.8
178,941.0,35.0,428.0,31.0,509.8
179,941.0,35.0,428.0,31.0,509.8
180,941.0,35.0,428.0,31.0,509.8
181,941.0,35.0,428.0,31.0,509.8
182,941.0,35.0,428.0,31.0,509.8
183,941.0,35.0,428.0,31.0,509.8
184,941.0,35.0,428.0,31.0,509.8
185,941.0,35.0,428.0,31.0,509.8
186,941.0,35.0,428.0,31.0,509.8
187,941.0,35.0,428.0,31.0,509.8
188,941.0,35.0,428.0,31.0,509.8
189,941.0,35.0,428.0,31.0,509.8
190,941.0,35.0,428.0,31.0,509.8
191,941.0,35.0,428.0,31.0,509.8
192,941.0,35.0,428.0,31.0,509.8
193,941.0,35.0,428.0,31.0,509.8
194,941.0,35.0,428.0,31.0,509.8
195,941.0,35.0,428.0,31.0,509.8
196,941.0,35.0,428.0,31.0,509.8
197,941.0,35.0,428.0,31.0,509.8
198,941.0,35.0,428.0,31.0,509.8
199,941.0,35.0,428.0,31.0,509.8
200,941.0,35.0,428.0,31.0,509.8
201,941.0,35.0,428.0,31.0,509.8
202,941.0,35.0,428.0,31.0,509.8
203,941.0,35.0,428.0,31.0,509.8
204,941.0,35.0,428.0,31.0,509.8
205,941.0,35.0,428.0,31.0,509.8
206,941.0,35.0,428.0,31.0,509.8
207,941.0,35.0,428.0,31.0,509.8
208,941.0,35.0,428.0,31.0,509.8
209,941.0,35.0,428.0,31.0,509.8
210,941.0,35.0,428.0,31.0,509.8
211,941.0,35.0,428.0,31.0,509.8
212,941.0,35.0,428.0,31.0,509.8
213,941.0,35.0,428.0,31.0,509.8
214,941.0,35.0,428.0,31.0,509.8
215,941.0,35.0,428.0,31.0,509.8
216,941.0,35.0,428.0,31.0,509.8
217,941.0,35.0,428.0,31.0,509.8
218,941.0,35.0,428.0,31.0,509.8
219,941.0,35.0,428.0,31.0,509.8
220,941.0,35.0,428.0,31.0,509.8
221,941.0,35.0,428.0,31.0,509.8
222,941.0,35.0,428.0,31.0,509.8
223,941.0,35.0,428.0,31.0,509.8
224,941.0,35.0,428.0,31.0,509.8
225,941.0,35.0,428.0,31.0,509.8
226,941.0,35.0,428.0,31.0,509.8
227,941.0,35.0,428.0,31.0,509.8
228,941.0,35.0,428.0,31.0,509.8
229,941.0,35.0,428.0,31.0,509.8
230,941.0,35.0,428.0,31.0,509.8
231,941.0,35.0,428.0,31.0,509.8
232,941.0,35.0,428.0,31.0,509.8
233,941.0,35.0,428.0,31.0,509.8
234,941.0,35.0,428.0,31.0,509.8
235,941.0,35.0,428.0,31.0,509.8
236,941.0,35.0,428.0,31.0,509.8
237,941.0,35.0,428.0,31.0,509.8
238,941.0,35.0,428.0,31.0,509.8
239,941.0,35.0,428.0,31.0,509.8
240,941.0,35.0,428.0,31.0,509.8
241,941.0,35.0,428.0,31.0,509.8
242,941.0,35.0,428.0,31.0,509.8
243,941.0,35.0,428.0,31.0,509.8
244,941.0,35.0,428.0,31.0,509.8
245,941.0,35.0,428.0,31.0,509.8
246,941.0,35.0,428.0,31.0,509.8
247,941.0,35.0,428.0,31.0,509.8
248,941.0,35.0,428.0,31.0,509.8
249,941.0,35.0,428.0,31.0,509.8
250,941.0,35.0,428.0,31.0,509.8
251,941.0,35.0,428.0,31.0,509.8
252,941.0,35.0,428.0,31.0,509.8
253,941.0,35.0,428.0,31.0,509.8
254,941.0,35.0,428.0,31.0,509.8
255,941.0,35.0,428.0,31.0,509.8
256,941.0,35.0,428.0,31.0,509.8
257,941.0,35.0,428.0,31.0,509.8
258,941.0,35.0,428.0,31.0,509.8
259,941.0,35.0,428.0,31.0,509.8
260,941.0,35.0,428.0,31.0,509.8
261,941.0,35.0,428.0,31.0,509.8
262,941.0,35.0,428.0,31.0,509.8
263,941.0,35.0,428.0,31.0,509.8
264,941.0,35.0,428.0,31.0,509.8
265,941.0,35.0,428.0,31.0,509.8
266,941.0,35.0,428.0,31.0,509.8
267,941.0,35.0,428.0,31.0,509.8
268,941.0,35.0,428.0,31.0,509.8
269,941.0,35.0,428.0,31.0,509.8
270,941.0,35.0,428.0,31.0,509.8
271,941.0,35.0,428.0,31.0,509.8
272,941.0,35.0,428.0,31.0,509.8
273,941.0,35.0,428.0,31.0,509.8
274,941.0,35.0,428.0,31.0,509.8
275,941.0,35.0,428.0,31.0,509.8
276,941.0,35.0,428.0,31.0,509.8
277,941.0,35.0,428.0,31.0,509.8
278,941.0,35.0,428.0,31.0,509.8
279,941.0,35.0,428.0,31.0,509.8
280,941.0,35.0,428.0,31.0,509.8
281,941.0,35.0,428.0,31.0,509.8
282,941.0,35.0,428.0,31.0,509.8
283,941.0,35.0,428.0,31.0,509.8
284,941.0,35.0,428.0,31.0,509.8
285,941.0,35.0,428.0,31.0,509.8
286,941.0,35.0,428.0,31.0,509.8
287,941.0,35.0,428.0,31.0,509.8
288,941.0,35.0,428.0,31.0,509.8
289,941.0,35.0,428.0,31.0,509.8
290,941.0,35.0,428.0,31.0,509.8
291,941.0,35.0,428.0,31.0,509.8
292,941.0,35.0,428.0,31.0,509.8
293,941.0,35.0,428.0,31.0,509.8
294,941.0,35.0,428.0,31.0,509.8
295,941.0,35.0,428.0,31.0,509.8
296,941.0,35.0,428.0,31.0,509.8
